错误: missing newline in C:\Users\V3-572G\Desktop\test1\pd.dat	[MsgId: MERR-13874]
错误: 参数“username”: 表“NewParam.dat”的列名“pd”无效。	[MsgId: MERR-13897]
虚拟用户脚本已从 : 2017-05-09 17:15:13 启动	[MsgId: MMSG-15967]
正在开始操作 vuser_init。	[MsgId: MMSG-15919]
Windows 7 版 LoadRunner 11.0.0 的 Web Turbo 重播; 内部版本 8859 (Aug 18 2010 20:14:31)  	[MsgId: MMSG-27143]
Run Mode: HTML  	[MsgId: MMSG-26000]
运行时设置文件: "C:\Users\V3-572G\AppData\Local\Temp\lr5tmpdirlHG.306\lrcfgH34.307\cfgeNJ.308"  	[MsgId: MMSG-27141]
正在结束操作 vuser_init。	[MsgId: MMSG-15918]
正在运行 Vuser...	[MsgId: MMSG-15964]
错误: 参数“username”: 表“NewParam.dat”的列名“pd”无效。	[MsgId: MERR-13897]
虚拟用户脚本已从 : 2017-05-09 17:15:13 启动	[MsgId: MMSG-15967]
正在开始操作 vuser_init。	[MsgId: MMSG-15919]
Windows 7 版 LoadRunner 11.0.0 的 Web Turbo 重播; 内部版本 8859 (Aug 18 2010 20:14:31)  	[MsgId: MMSG-27143]
Run Mode: HTML  	[MsgId: MMSG-26000]
运行时设置文件: "C:\Users\V3-572G\AppData\Local\Temp\lr5tmpdirlHG.306\lrcfgH34.307\cfgeNJ.308"  	[MsgId: MMSG-27141]
正在结束操作 vuser_init。	[MsgId: MMSG-15918]
正在运行 Vuser...	[MsgId: MMSG-15964]
正在开始迭代 1。	[MsgId: MMSG-15968]
正在开始操作 Action。	[MsgId: MMSG-15919]
Action.c(4): 通知: 事务 "test" 已启动。	[MsgId: MMSG-16999]
Action.c(7): web_add_cookie 已成功  	[MsgId: MMSG-26392]
Action.c(9): web_add_cookie 已成功  	[MsgId: MMSG-26392]
Action.c(11): web_add_cookie 已成功  	[MsgId: MMSG-26392]
Action.c(13): web_add_cookie 已成功  	[MsgId: MMSG-26392]
Action.c(15): web_add_cookie 已成功  	[MsgId: MMSG-26392]
正在开始迭代 1。	[MsgId: MMSG-15968]
